IDcode,a,sigmasq,mean_criterion,sd_criterion,mad_criterion,mean_abs_diff_criterion
1235216,0.8875277,0.07236919,-0.7827689,0.18311958,0.14856213,0.033158667
1235217,0.9149221,0.13728002,-0.9936479,0.6613872,0.59373945,0.054144073
1235218,0.92636853,0.41597003,0.34160292,1.4970042,1.3137408,0.1430667
1235219,0.90911144,0.19170113,0.25613466,0.72631174,0.55796653,0.07857565
1235220,0.8855152,0.06574207,-0.013429475,0.09259956,0.070750885,0.023159849
1235221,0.90179855,0.08396425,-0.8940238,0.36133868,0.2912523,0.029153429
1235222,0.9106684,0.36064622,-0.79588646,0.99149144,0.80039406,0.13371845
1235223,0.9046426,0.08014814,-1.7428526,0.1997321,0.16025555,0.02690939
1235224,0.895155,0.080959365,-1.0635979,0.27664864,0.23443629,0.033782538
1235225,0.90639657,0.29647303,-0.10990268,0.8826777,0.7126934,0.1197709
